stop_name,stop_id,published_line,bus_id,scheduled_arrival,predicted_arrival,actual_arrival,scheduled_delay_minutes,prediction_error_minutes,initial_distance,date,day_of_week,hour_of_day,timestamp
5 AV/UNION ST,308207,B63,MTA NYCT_469,2025-04-15 10:12:06,2025-04-15 10:12:29,2025-04-15 09:52:08,0.3964,-20.3584,20 stops away,2025-04-15,Tuesday,10,2025-04-15 09:52:08
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_758,2025-04-19 19:57:36,2025-04-19 20:03:57,2025-04-19 20:02:05,6.3514,-1.8664,17 stops away,2025-04-19,Saturday,19,2025-04-19 20:02:05
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5503,2025-04-14 18:28:11,2025-04-14 18:26:33,2025-04-14 18:21:57,-1.6261,-4.5991,2 stops away,2025-04-14,Monday,18,2025-04-14 18:21:57
5 AV/9 ST,308204,B63,MTA NYCT_417,2025-04-16 13:41:48,2025-04-16 14:11:30,2025-04-16 13:27:26,29.7066,-44.0684,19 stops away,2025-04-16,Wednesday,13,2025-04-16 13:27:26
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_248,2025-04-14 10:21:18,2025-04-14 10:35:24,2025-04-14 10:06:30,14.1125,-28.9066,1 stops away,2025-04-14,Monday,10,2025-04-14 10:06:30
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_406,2025-04-10 15:53:35,2025-04-10 16:09:42,2025-04-10 15:55:31,16.12,-14.1786,14 stops away,2025-04-10,Thursday,15,2025-04-10 15:55:31
5 AV/UNION ST,308207,B63,MTA NYCT_263,2025-04-17 20:50:04,2025-04-17 20:57:06,2025-04-17 20:53:04,7.0474,-4.0434,16 stops away,2025-04-17,Thursday,20,2025-04-17 20:53:04
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5508,2025-04-18 10:37:36,2025-04-18 11:05:26,2025-04-18 10:46:42,27.837,-18.7205,20 stops away,2025-04-18,Friday,10,2025-04-18 10:46:42
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5511,2025-04-09 07:56:50,2025-04-09 08:24:45,2025-04-09 07:42:12,27.9269,-42.5569,16 stops away,2025-04-09,Wednesday,7,2025-04-09 07:42:12
5 AV/9 ST,308204,B63,MTA NYCT_771,2025-04-18 08:39:13,2025-04-18 08:45:46,2025-04-18 08:41:23,6.5554,-4.3778,11 stops away,2025-04-18,Friday,8,2025-04-18 08:41:23
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6144,2025-04-13 11:00:23,2025-04-13 11:22:59,2025-04-13 11:16:05,22.615,-6.9032,Unknown,2025-04-13,Sunday,11,2025-04-13 11:16:05
5 AV/UNION ST,308207,B63,MTA NYCT_471,2025-04-08 07:28:12,2025-04-08 07:42:57,2025-04-08 07:28:21,14.7585,-14.6079,12 stops away,2025-04-08,Tuesday,7,2025-04-08 07:28:21
5 AV/9 ST,308204,B63,MTA NYCT_263,2025-04-10 09:14:56,2025-04-10 09:17:44,2025-04-10 09:16:13,2.8073,-1.5213,6 stops away,2025-04-10,Thursday,9,2025-04-10 09:16:13
5 AV/UNION ST,308207,B63,MTA NYCT_403,2025-04-10 06:53:16,2025-04-10 07:13:15,2025-04-10 06:48:53,19.9998,-24.3681,1 stops away,2025-04-10,Thursday,6,2025-04-10 06:48:53
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_373,2025-04-17 18:07:21,2025-04-17 18:20:06,2025-04-17 18:11:15,12.757,-8.8436,10 stops away,2025-04-17,Thursday,18,2025-04-17 18:11:15
5 AV/UNION ST,308207,B63,MTA NYCT_388,2025-04-19 13:10:33,2025-04-19 13:16:50,2025-04-19 13:00:48,6.2879,-16.0226,20 stops away,2025-04-19,Saturday,13,2025-04-19 13:00:48
5 AV/UNION ST,308207,B63,MTA NYCT_772,2025-04-09 19:08:50,2025-04-09 19:39:10,2025-04-09 19:19:14,30.3476,-19.934,18 stops away,2025-04-09,Wednesday,19,2025-04-09 19:19:14
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5511,2025-04-16 13:40:15,2025-04-16 13:49:42,2025-04-16 13:21:06,9.4541,-28.5943,20 stops away,2025-04-16,Wednesday,13,2025-04-16 13:21:06
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_471,2025-04-11 18:20:15,2025-04-11 18:48:29,2025-04-11 18:29:58,28.2384,-18.5112,Unknown,2025-04-11,Friday,18,2025-04-11 18:29:58
5 AV/UNION ST,308207,B63,MTA NYCT_386,2025-04-16 19:13:46,2025-04-16 19:20:44,2025-04-16 19:34:43,6.9803,13.9778,Unknown,2025-04-16,Wednesday,19,2025-04-16 19:34:43
5 AV/UNION ST,308207,B63,MTA NYCT_403,2025-04-15 12:56:41,2025-04-15 13:21:14,2025-04-15 12:53:40,24.5666,-27.5755,12 stops away,2025-04-15,Tuesday,12,2025-04-15 12:53:40
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5517,2025-04-12 17:33:44,2025-04-12 17:28:44,2025-04-12 17:35:55,-5.0,7.1927,16 stops away,2025-04-12,Saturday,17,2025-04-12 17:35:55
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5508,2025-04-13 16:50:37,2025-04-13 16:56:53,2025-04-13 16:59:23,6.271,2.503,7 stops away,2025-04-13,Sunday,16,2025-04-13 16:59:23
5 AV/9 ST,308204,B63,MTA NYCT_469,2025-04-20 11:13:19,2025-04-20 11:08:19,2025-04-20 11:13:01,-5.0,4.7079,13 stops away,2025-04-20,Sunday,11,2025-04-20 11:13:01
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_388,2025-04-11 16:08:48,2025-04-11 16:12:06,2025-04-11 16:13:18,3.3076,1.2086,Unknown,2025-04-11,Friday,16,2025-04-11 16:13:18
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6144,2025-04-16 06:32:39,2025-04-16 06:45:16,2025-04-16 06:10:03,12.6213,-35.2195,15 stops away,2025-04-16,Wednesday,6,2025-04-16 06:10:03
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5503,2025-04-12 18:20:17,2025-04-12 18:30:05,2025-04-12 18:30:20,9.8103,0.2475,6 stops away,2025-04-12,Saturday,18,2025-04-12 18:30:20
5 AV/UNION ST,308207,B63,MTA NYCT_418,2025-04-17 07:57:05,2025-04-17 08:17:11,2025-04-17 08:15:13,20.1002,-1.9559,17 stops away,2025-04-17,Thursday,7,2025-04-17 08:15:13
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_418,2025-04-10 07:04:23,2025-04-10 07:48:19,2025-04-10 06:59:55,43.9496,-48.416,Unknown,2025-04-10,Thursday,7,2025-04-10 06:59:55
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6144,2025-04-17 10:19:47,2025-04-17 10:46:01,2025-04-17 10:33:41,26.2463,-12.3362,9 stops away,2025-04-17,Thursday,10,2025-04-17 10:33:41
5 AV/9 ST,308204,B63,MTA NYCT_471,2025-04-11 05:19:18,2025-04-11 05:22:42,2025-04-11 04:39:20,3.4022,-43.3578,13 stops away,2025-04-11,Friday,5,2025-04-11 04:39:20
5 AV/UNION ST,308207,B63,MTA NYCT_439,2025-04-17 15:48:09,2025-04-17 15:59:02,2025-04-17 16:04:22,10.8925,5.3361,8 stops away,2025-04-17,Thursday,15,2025-04-17 16:04:22
5 AV/9 ST,308204,B63,MTA NYCT_439,2025-04-10 15:50:35,2025-04-10 16:01:59,2025-04-10 16:20:04,11.4158,18.0829,15 stops away,2025-04-10,Thursday,15,2025-04-10 16:20:04
5 AV/UNION ST,308207,B63,MTA NYCT_407,2025-04-20 11:49:44,2025-04-20 11:47:23,2025-04-20 11:32:32,-2.335,-14.854,15 stops away,2025-04-20,Sunday,11,2025-04-20 11:32:32
5 AV/UNION ST,308207,B63,MTA NYCT_388,2025-04-09 16:08:19,2025-04-09 16:11:05,2025-04-09 16:04:22,2.782,-6.7299,1 stops away,2025-04-09,Wednesday,16,2025-04-09 16:04:22
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5511,2025-04-10 12:43:48,2025-04-10 13:03:50,2025-04-10 12:40:08,20.0385,-23.6907,18 stops away,2025-04-10,Thursday,12,2025-04-10 12:40:08
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5508,2025-04-07 16:02:59,2025-04-07 15:57:59,2025-04-07 15:47:41,-5.0,-10.2908,11 stops away,2025-04-07,Monday,16,2025-04-07 15:47:41
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5503,2025-04-10 21:04:34,2025-04-10 21:20:46,2025-04-10 21:14:55,16.2123,-5.8506,16 stops away,2025-04-10,Thursday,21,2025-04-10 21:14:55
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5508,2025-04-14 17:19:05,2025-04-14 17:53:35,2025-04-14 17:15:50,34.5062,-37.7519,18 stops away,2025-04-14,Monday,17,2025-04-14 17:15:50
5 AV/9 ST,308204,B63,MTA NYCT_439,2025-04-07 08:04:58,2025-04-07 08:32:23,2025-04-07 08:43:34,27.4228,11.1928,10 stops away,2025-04-07,Monday,8,2025-04-07 08:43:34
5 AV/9 ST,308204,B63,MTA NYCT_417,2025-04-17 15:29:03,2025-04-17 15:26:25,2025-04-17 15:18:45,-2.618,-7.6808,1 stops away,2025-04-17,Thursday,15,2025-04-17 15:18:45
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5528,2025-04-13 13:07:08,2025-04-13 13:12:50,2025-04-13 12:56:29,5.7145,-16.3554,16 stops away,2025-04-13,Sunday,13,2025-04-13 12:56:29
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_373,2025-04-20 11:55:13,2025-04-20 12:08:10,2025-04-20 11:43:02,12.9553,-25.1279,16 stops away,2025-04-20,Sunday,11,2025-04-20 11:43:02
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5508,2025-04-10 15:43:29,2025-04-10 15:50:14,2025-04-10 15:36:23,6.7565,-13.8542,1 stops away,2025-04-10,Thursday,15,2025-04-10 15:36:23
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6187,2025-04-20 13:51:15,2025-04-20 13:52:00,2025-04-20 13:13:56,0.7584,-38.0713,19 stops away,2025-04-20,Sunday,13,2025-04-20 13:13:56
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5519,2025-04-16 06:05:18,2025-04-16 06:23:34,2025-04-16 05:44:08,18.2747,-39.4328,15 stops away,2025-04-16,Wednesday,6,2025-04-16 05:44:08
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5503,2025-04-16 19:54:11,2025-04-16 20:12:20,2025-04-16 20:07:45,18.1637,-4.5901,6 stops away,2025-04-16,Wednesday,19,2025-04-16 20:07:45
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5519,2025-04-13 20:11:44,2025-04-13 20:07:03,2025-04-13 19:37:49,-4.6694,-29.2435,13 stops away,2025-04-13,Sunday,20,2025-04-13 19:37:49
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_771,2025-04-20 10:56:40,2025-04-20 11:16:48,2025-04-20 10:41:00,20.1499,-35.8082,3 stops away,2025-04-20,Sunday,10,2025-04-20 10:41:00
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_439,2025-04-13 23:35:07,2025-04-13 23:39:21,2025-04-13 23:34:45,4.2368,-4.6015,3 stops away,2025-04-13,Sunday,23,2025-04-13 23:34:45
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5503,2025-04-14 08:13:32,2025-04-14 08:42:16,2025-04-14 08:22:14,28.7382,-20.0316,Unknown,2025-04-14,Monday,8,2025-04-14 08:22:14
5 AV/9 ST,308204,B63,MTA NYCT_469,2025-04-13 13:25:54,2025-04-13 13:30:49,2025-04-13 13:46:59,4.9212,16.1631,2 stops away,2025-04-13,Sunday,13,2025-04-13 13:46:59
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6187,2025-04-18 20:20:42,2025-04-18 20:47:58,2025-04-18 20:54:33,27.2806,6.5731,16 stops away,2025-04-18,Friday,20,2025-04-18 20:54:33
5 AV/UNION ST,308207,B63,MTA NYCT_431,2025-04-15 17:45:28,2025-04-15 18:05:18,2025-04-15 17:33:14,19.8378,-32.0696,9 stops away,2025-04-15,Tuesday,17,2025-04-15 17:33:14
5 AV/9 ST,308204,B63,MTA NYCT_381,2025-04-16 07:18:07,2025-04-16 07:26:16,2025-04-16 07:22:59,8.1618,-3.2944,13 stops away,2025-04-16,Wednesday,7,2025-04-16 07:22:59
5 AV/9 ST,308204,B63,MTA NYCT_381,2025-04-17 09:28:22,2025-04-17 09:52:27,2025-04-17 10:08:09,24.0846,15.714,2 stops away,2025-04-17,Thursday,9,2025-04-17 10:08:09
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_469,2025-04-18 06:40:51,2025-04-18 06:58:52,2025-04-18 06:11:47,18.0288,-47.0935,4 stops away,2025-04-18,Friday,6,2025-04-18 06:11:47
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5519,2025-04-07 16:03:49,2025-04-07 16:35:58,2025-04-07 15:59:48,32.1623,-36.1736,7 stops away,2025-04-07,Monday,16,2025-04-07 15:59:48
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5784,2025-04-10 08:01:26,2025-04-10 08:15:17,2025-04-10 08:06:06,13.8544,-9.1826,Unknown,2025-04-10,Thursday,8,2025-04-10 08:06:06
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5528,2025-04-10 17:04:14,2025-04-10 17:48:25,2025-04-10 18:41:04,44.1948,52.6527,4 stops away,2025-04-10,Thursday,17,2025-04-10 18:41:04
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_403,2025-04-07 12:06:52,2025-04-07 12:24:31,2025-04-07 12:05:58,17.6571,-18.5539,18 stops away,2025-04-07,Monday,12,2025-04-07 12:05:58
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_263,2025-04-15 12:27:07,2025-04-15 12:44:09,2025-04-15 12:48:45,17.0433,4.601,4 stops away,2025-04-15,Tuesday,12,2025-04-15 12:48:45
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5517,2025-04-07 12:20:00,2025-04-07 12:29:46,2025-04-07 12:53:59,9.7743,24.225,15 stops away,2025-04-07,Monday,12,2025-04-07 12:53:59
5 AV/9 ST,308204,B63,MTA NYCT_418,2025-04-17 17:02:04,2025-04-17 17:23:45,2025-04-17 17:19:55,21.6834,-3.83,14 stops away,2025-04-17,Thursday,17,2025-04-17 17:19:55
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6187,2025-04-18 15:59:54,2025-04-18 16:18:03,2025-04-18 16:12:35,18.1604,-5.4767,9 stops away,2025-04-18,Friday,15,2025-04-18 16:12:35
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5586,2025-04-18 12:59:49,2025-04-18 13:19:26,2025-04-18 12:51:30,19.631,-27.9394,11 stops away,2025-04-18,Friday,12,2025-04-18 12:51:30
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5528,2025-04-17 14:21:01,2025-04-17 14:28:46,2025-04-17 13:50:23,7.7544,-38.3811,19 stops away,2025-04-17,Thursday,14,2025-04-17 13:50:23
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6156,2025-04-17 18:32:37,2025-04-17 18:56:58,2025-04-17 18:59:13,24.3536,2.2502,1 stops away,2025-04-17,Thursday,18,2025-04-17 18:59:13
5 AV/9 ST,308204,B63,MTA NYCT_772,2025-04-11 08:27:48,2025-04-11 08:52:23,2025-04-11 09:14:00,24.5866,21.6147,3 stops away,2025-04-11,Friday,8,2025-04-11 09:14:00
5 AV/9 ST,308204,B63,MTA NYCT_388,2025-04-14 09:09:24,2025-04-14 09:28:04,2025-04-14 09:27:56,18.6787,-0.1325,2 stops away,2025-04-14,Monday,9,2025-04-14 09:27:56
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6157,2025-04-12 10:20:41,2025-04-12 10:21:24,2025-04-12 09:58:26,0.7205,-22.9628,2 stops away,2025-04-12,Saturday,10,2025-04-12 09:58:26
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5586,2025-04-20 12:01:14,2025-04-20 12:17:08,2025-04-20 12:20:54,15.9121,3.7674,11 stops away,2025-04-20,Sunday,12,2025-04-20 12:20:54
5 AV/UNION ST,308207,B63,MTA NYCT_263,2025-04-15 06:58:42,2025-04-15 07:08:42,2025-04-15 06:52:33,10.0013,-16.1408,8 stops away,2025-04-15,Tuesday,6,2025-04-15 06:52:33
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6156,2025-04-12 11:40:00,2025-04-12 11:37:05,2025-04-12 11:14:47,-2.9019,-22.3126,Unknown,2025-04-12,Saturday,11,2025-04-12 11:14:47
5 AV/UNION ST,308207,B63,MTA NYCT_263,2025-04-07 17:09:13,2025-04-07 17:39:19,2025-04-07 17:37:09,30.1024,-2.155,6 stops away,2025-04-07,Monday,17,2025-04-07 17:37:09
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_771,2025-04-15 07:46:29,2025-04-15 08:11:37,2025-04-15 07:58:06,25.1335,-13.5164,7 stops away,2025-04-15,Tuesday,7,2025-04-15 07:58:06
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5517,2025-04-16 09:18:36,2025-04-16 09:37:26,2025-04-16 09:08:34,18.8401,-28.8707,7 stops away,2025-04-16,Wednesday,9,2025-04-16 09:08:34
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6187,2025-04-12 13:10:30,2025-04-12 13:26:26,2025-04-12 13:20:57,15.94,-5.49,17 stops away,2025-04-12,Saturday,13,2025-04-12 13:20:57
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5617,2025-04-09 19:50:30,2025-04-09 20:07:10,2025-04-09 19:41:12,16.6822,-25.967,Unknown,2025-04-09,Wednesday,19,2025-04-09 19:41:12
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5528,2025-04-08 18:58:19,2025-04-08 18:53:19,2025-04-08 19:02:26,-5.0,9.131,5 stops away,2025-04-08,Tuesday,18,2025-04-08 19:02:26
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_418,2025-04-13 14:29:18,2025-04-13 14:35:13,2025-04-13 14:01:58,5.9299,-33.2483,20 stops away,2025-04-13,Sunday,14,2025-04-13 14:01:58
5 AV/UNION ST,308207,B63,MTA NYCT_407,2025-04-09 18:12:09,2025-04-09 18:39:44,2025-04-09 18:16:40,27.5919,-23.0691,1 stops away,2025-04-09,Wednesday,18,2025-04-09 18:16:40
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5519,2025-04-13 20:25:47,2025-04-13 20:44:47,2025-04-13 20:43:32,19.0095,-1.2512,16 stops away,2025-04-13,Sunday,20,2025-04-13 20:43:32
5 AV/UNION ST,308207,B63,MTA NYCT_247,2025-04-07 23:07:24,2025-04-07 23:20:13,2025-04-07 22:36:05,12.8172,-44.1285,6 stops away,2025-04-07,Monday,23,2025-04-07 22:36:05
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6226,2025-04-19 20:46:22,2025-04-19 21:06:40,2025-04-19 20:57:43,20.3015,-8.9436,16 stops away,2025-04-19,Saturday,20,2025-04-19 20:57:43
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6157,2025-04-07 17:59:27,2025-04-07 18:13:29,2025-04-07 18:01:59,14.0417,-11.4922,8 stops away,2025-04-07,Monday,17,2025-04-07 18:01:59
5 AV/UNION ST,308207,B63,MTA NYCT_388,2025-04-17 17:01:44,2025-04-17 16:57:50,2025-04-17 16:52:04,-3.897,-5.7564,5 stops away,2025-04-17,Thursday,17,2025-04-17 16:52:04
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5586,2025-04-09 09:38:37,2025-04-09 09:44:14,2025-04-09 09:00:24,5.6255,-43.8412,6 stops away,2025-04-09,Wednesday,9,2025-04-09 09:00:24
5 AV/9 ST,308204,B63,MTA NYCT_431,2025-04-17 18:24:25,2025-04-17 18:23:45,2025-04-17 18:33:13,-0.6601,9.4669,3 stops away,2025-04-17,Thursday,18,2025-04-17 18:33:13
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_247,2025-04-09 19:16:44,2025-04-09 19:23:53,2025-04-09 19:42:27,7.1513,18.571,18 stops away,2025-04-09,Wednesday,19,2025-04-09 19:42:27
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5508,2025-04-11 18:48:56,2025-04-11 19:00:51,2025-04-11 18:09:20,11.9185,-51.5106,3 stops away,2025-04-11,Friday,18,2025-04-11 18:09:20
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5528,2025-04-09 09:13:59,2025-04-09 09:18:29,2025-04-09 09:30:37,4.5143,12.1292,10 stops away,2025-04-09,Wednesday,9,2025-04-09 09:30:37
5 AV/9 ST,308204,B63,MTA NYCT_439,2025-04-07 07:49:44,2025-04-07 08:06:29,2025-04-07 07:40:02,16.7623,-26.4482,14 stops away,2025-04-07,Monday,7,2025-04-07 07:40:02
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6157,2025-04-13 11:23:11,2025-04-13 11:34:32,2025-04-13 11:30:48,11.3602,-3.7426,7 stops away,2025-04-13,Sunday,11,2025-04-13 11:30:48
5 AV/UNION ST,308207,B63,MTA NYCT_386,2025-04-08 13:52:13,2025-04-08 14:14:12,2025-04-08 14:30:56,21.9979,16.7281,2 stops away,2025-04-08,Tuesday,13,2025-04-08 14:30:56
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_263,2025-04-11 22:55:26,2025-04-11 23:02:02,2025-04-11 22:18:46,6.6094,-43.2656,20 stops away,2025-04-11,Friday,22,2025-04-11 22:18:46
5 AV/9 ST,308204,B63,MTA NYCT_431,2025-04-11 07:07:17,2025-04-11 07:20:45,2025-04-11 07:11:47,13.4783,-8.9646,Unknown,2025-04-11,Friday,7,2025-04-11 07:11:47
5 AV/9 ST,308204,B63,MTA NYCT_439,2025-04-14 17:06:00,2025-04-14 17:12:27,2025-04-14 16:37:10,6.4621,-35.289,Unknown,2025-04-14,Monday,17,2025-04-14 16:37:10
5 AV/9 ST,308204,B63,MTA NYCT_772,2025-04-10 15:00:24,2025-04-10 15:15:49,2025-04-10 15:00:10,15.4222,-15.6446,9 stops away,2025-04-10,Thursday,15,2025-04-10 15:00:10
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5617,2025-04-12 16:21:23,2025-04-12 16:36:48,2025-04-12 16:05:48,15.4182,-30.9935,11 stops away,2025-04-12,Saturday,16,2025-04-12 16:05:48
5 AV/UNION ST,308207,B63,MTA NYCT_388,2025-04-17 12:39:03,2025-04-17 12:49:35,2025-04-17 12:15:00,10.5416,-34.5772,11 stops away,2025-04-17,Thursday,12,2025-04-17 12:15:00
5 AV/9 ST,308204,B63,MTA NYCT_469,2025-04-20 17:46:53,2025-04-20 18:13:14,2025-04-20 18:21:01,26.35,7.7924,5 stops away,2025-04-20,Sunday,17,2025-04-20 18:21:01
5 AV/9 ST,308204,B63,MTA NYCT_386,2025-04-11 21:48:52,2025-04-11 21:45:40,2025-04-11 21:10:58,-3.1926,-34.6913,15 stops away,2025-04-11,Friday,21,2025-04-11 21:10:58
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6156,2025-04-13 16:00:40,2025-04-13 15:56:35,2025-04-13 15:27:56,-4.0807,-28.648,11 stops away,2025-04-13,Sunday,16,2025-04-13 15:27:56
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5528,2025-04-07 22:47:20,2025-04-07 22:55:35,2025-04-07 22:09:38,8.2535,-45.9381,8 stops away,2025-04-07,Monday,22,2025-04-07 22:09:38
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5503,2025-04-18 16:05:22,2025-04-18 16:12:21,2025-04-18 15:36:03,6.9963,-36.3011,16 stops away,2025-04-18,Friday,16,2025-04-18 15:36:03
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_373,2025-04-11 16:45:09,2025-04-11 17:06:32,2025-04-11 16:53:26,21.3927,-13.0932,19 stops away,2025-04-11,Friday,16,2025-04-11 16:53:26
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_248,2025-04-14 18:19:53,2025-04-14 18:29:25,2025-04-14 18:18:39,9.5478,-10.7693,18 stops away,2025-04-14,Monday,18,2025-04-14 18:18:39
5 AV/UNION ST,308207,B63,MTA NYCT_469,2025-04-08 14:34:15,2025-04-08 14:42:06,2025-04-08 14:21:38,7.8532,-20.4666,6 stops away,2025-04-08,Tuesday,14,2025-04-08 14:21:38
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_772,2025-04-13 23:01:10,2025-04-13 23:18:07,2025-04-13 23:32:30,16.957,14.392,11 stops away,2025-04-13,Sunday,23,2025-04-13 23:32:30
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6144,2025-04-18 09:30:57,2025-04-18 09:33:07,2025-04-18 09:36:28,2.1803,3.3486,5 stops away,2025-04-18,Friday,9,2025-04-18 09:36:28
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6187,2025-04-19 17:55:14,2025-04-19 18:20:34,2025-04-19 17:41:09,25.3453,-39.4214,20 stops away,2025-04-19,Saturday,17,2025-04-19 17:41:09
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5503,2025-04-18 18:46:24,2025-04-18 19:15:35,2025-04-18 19:34:15,29.1894,18.6619,18 stops away,2025-04-18,Friday,18,2025-04-18 19:34:15
5 AV/UNION ST,308207,B63,MTA NYCT_771,2025-04-11 07:05:07,2025-04-11 07:09:33,2025-04-11 06:35:07,4.4376,-34.4317,Unknown,2025-04-11,Friday,7,2025-04-11 06:35:07
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_772,2025-04-16 11:54:20,2025-04-16 12:15:29,2025-04-16 12:06:45,21.1501,-8.7221,19 stops away,2025-04-16,Wednesday,11,2025-04-16 12:06:45
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_417,2025-04-07 16:12:54,2025-04-07 16:38:40,2025-04-07 16:31:27,25.7813,-7.2281,14 stops away,2025-04-07,Monday,16,2025-04-07 16:31:27
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5617,2025-04-17 20:08:33,2025-04-17 20:24:22,2025-04-17 19:41:05,15.8209,-43.2748,19 stops away,2025-04-17,Thursday,20,2025-04-17 19:41:05
5 AV/9 ST,308204,B63,MTA NYCT_373,2025-04-07 15:29:20,2025-04-07 15:50:44,2025-04-07 16:01:25,21.4022,10.6973,10 stops away,2025-04-07,Monday,15,2025-04-07 16:01:25
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5586,2025-04-14 08:18:09,2025-04-14 08:33:58,2025-04-14 08:18:26,15.8253,-15.5327,2 stops away,2025-04-14,Monday,8,2025-04-14 08:18:26
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6226,2025-04-15 23:07:17,2025-04-15 23:06:55,2025-04-15 23:03:27,-0.3601,-3.473,19 stops away,2025-04-15,Tuesday,23,2025-04-15 23:03:27
5 AV/UNION ST,308207,B63,MTA NYCT_439,2025-04-11 17:24:03,2025-04-11 17:50:05,2025-04-11 17:34:09,26.0437,-15.9374,11 stops away,2025-04-11,Friday,17,2025-04-11 17:34:09
5 AV/9 ST,308204,B63,MTA NYCT_771,2025-04-18 18:59:55,2025-04-18 19:33:00,2025-04-18 19:11:11,33.0855,-21.8163,16 stops away,2025-04-18,Friday,18,2025-04-18 19:11:11
